id,project,input_url,github_repo,repo_url,match_source,match_confidence,stars,forks,latest_commit_main_branch_utc,contributor_diversity
3756,Akto,www.akto.io,akto-api-security/akto,https://github.com/akto-api-security/akto,manual,0.99,1448,273,2026-02-19T09:21:04Z,Significant external contributor community (multiple companies visible)
5599,Tilores,www.tilores.io,tilotech/python-tilores-sdk,https://github.com/tilotech/python-tilores-sdk,search_affinity,0.84,3,0,2024-11-21T12:43:58Z,Primarily maintained by core/org team
5643,Cavelo,www.cavelo.com,Cavelo44000/Cavelo,https://github.com/Cavelo44000/Cavelo,search_affinity,0.84,0,0,2025-06-20T17:56:01Z,Primarily maintained by core/org team
5659,GoodAccess,www.goodaccess.com,,,unresolved,0.0,,,,No clear OSS repo found
7215,Flagsmith,www.flagsmith.com,Flagsmith/flagsmith,https://github.com/Flagsmith/flagsmith,manual,0.99,6219,467,2026-02-19T08:22:15Z,Significant external contributor community
7245,WunderGraph,www.wundergraph.com,wundergraph/wundergraph,,manual,0.99,,,,Repo lookup failed
5492,Lleverage,www.lleverage.ai,lleverage-ai/lleverage-active-monitoring,https://github.com/lleverage-ai/lleverage-active-monitoring,search_affinity,0.84,0,0,2025-11-04T15:42:33Z,Primarily maintained by core/org team
5680,PlayerZero,www.playerzero.ai,,,unresolved,0.0,,,,No clear OSS repo found
6780,CodeAnt AI,www.codeant.ai,CodeAnt-AI/CodeAnt-AI,https://github.com/CodeAnt-AI/CodeAnt-AI,search_affinity,0.84,6,3,2024-01-19T09:54:20Z,Primarily maintained by core/org team
7180,Baserock.ai,www.baserock.ai,,,unresolved,0.0,,,,No clear OSS repo found
7244,Windmill,www.windmill.dev,windmill-labs/windmill,https://github.com/windmill-labs/windmill,manual,0.99,15838,882,2026-02-19T09:37:11Z,"Mostly core-team maintained, some external contributions"
7235,StepSecurity,www.stepsecurity.io,step-security/harden-runner,https://github.com/step-security/harden-runner,manual,0.99,964,83,2026-02-07T01:26:07Z,"Mostly core-team maintained, some external contributions"
5123,simplyblock,https://www.simplyblock.io/,simplyblock-io/simplyblock,,manual,0.99,,,,Repo lookup failed
5656,Cloud Storage Security (cloudstoragesec),cloudstoragesecurity.com,,,unresolved,0.0,,,,No clear OSS repo found
7384,Encore (Leap),https://encore.dev/,encoredev/encore,https://github.com/encoredev/encore,manual,0.99,11434,558,2026-02-18T09:23:09Z,Mixed maintainership with external contributors (notable affiliations: Spotify)
5600,APIContext,www.apicontext.com,,,unresolved,0.0,,,,No clear OSS repo found
6007,Gruntwork,www.gruntwork.io,gruntwork-io/terragrunt,https://github.com/gruntwork-io/terragrunt,manual,0.99,9310,1139,2026-02-18T19:38:53Z,Significant external contributor community
6100,Golioth,www.golioth.io,golioth/golioth,,manual,0.99,,,,Repo lookup failed
7197,Ambar,www.ambar.cloud,,,unresolved,0.0,,,,No clear OSS repo found
7219,LangDB,langdb.ai,langdb/jupyterlite-langdb,https://github.com/langdb/jupyterlite-langdb,domain_org_match,0.9,1,0,2024-09-19T07:07:24Z,"Mostly core-team maintained, some external contributions"
7238,Syntasso (Kratix),www.syntasso.io,syntasso/kratix,https://github.com/syntasso/kratix,manual,0.99,724,49,2026-02-18T17:09:54Z,Significant external contributor community
7240,NativeLink (Trace Machina),https://www.nativelink.com/,TraceMachina/nativelink,https://github.com/TraceMachina/nativelink,manual,0.99,1486,206,2026-02-16T20:25:46Z,Significant external contributor community (multiple companies visible)
7243,Webiny,www.webiny.com,webiny/webiny-js,https://github.com/webiny/webiny-js,manual,0.99,7937,657,2026-02-19T07:22:37Z,Mixed maintainership with external contributors (multiple companies visible)
7503,Roadie,www.roadie.io,RoadieHQ/roadie-backstage-plugins,https://github.com/RoadieHQ/roadie-backstage-plugins,manual,0.99,335,469,2026-02-12T08:51:06Z,Significant external contributor community (multiple companies visible)
6836,Factor House,www.factorhouse.io,factorhouse/factorhouse-local,https://github.com/factorhouse/factorhouse-local,domain_org_match,0.95,51,6,2026-01-06T02:49:47Z,Primarily maintained by core/org team
7150,Arcjet,www.arcjet.com,arcjet/arcjet-js,https://github.com/arcjet/arcjet-js,domain_org_match,0.9,647,29,2026-02-17T00:32:14Z,"Mostly core-team maintained, some external contributions"
7198,Amplication,www.amplication.com,amplication/amplication,https://github.com/amplication/amplication,manual,0.99,16002,1554,2025-10-11T08:16:54Z,Significant external contributor community (multiple companies visible)
7217,Hiop,www.hiop.io,,,unresolved,0.0,,,,No clear OSS repo found
7236,Superstream,superstream.ai,gpahal/superstream,https://github.com/gpahal/superstream,search_affinity,0.84,3,0,2024-07-18T17:59:58Z,Primarily maintained by core/org team
3781,Apidog (Anakin AI),apidog.com,apidog/apidog,,manual,0.99,,,,Repo lookup failed
4066,FalkorDB,FalkorDB.com,FalkorDB/FalkorDB,https://github.com/FalkorDB/FalkorDB,manual,0.99,3431,267,2026-02-18T08:15:31Z,Significant external contributor community
5528,Polar Signals,www.polarsignals.com,polarsignals/parca,,manual,0.99,,,,Repo lookup failed
5612,Antimetal,www.antimetal.com,antimetal/terraform-aws-antimetal,https://github.com/antimetal/terraform-aws-antimetal,domain_org_match,0.9,3,0,2023-08-08T16:48:48Z,Primarily maintained by core/org team (notable affiliations: Antimetal)
